"kernel","gamma","cost","accuracy"
"radial",0.001,0.001,0.20838045112782
"radial",0.001,0.01,0.20838045112782
"radial",0.001,0.1,0.20838045112782
"radial",0.001,1,0.20838045112782
"radial",0.001,10,0.20838045112782
"radial",0.001,100,0.20838045112782
"radial",0.001,1000,0.21636992481203
"radial",0.01,0.001,0.208371428571429
"radial",0.01,0.01,0.208371428571429
"radial",0.01,0.1,0.208371428571429
"radial",0.01,1,0.208371428571429
"radial",0.01,10,0.208371428571429
"radial",0.01,100,0.216398496240602
"radial",0.01,1000,0.288640601503759
"radial",0.1,0.001,0.212106766917293
"radial",0.1,0.01,0.212106766917293
"radial",0.1,0.1,0.212106766917293
"radial",0.1,1,0.212106766917293
"radial",0.1,10,0.217275187969925
"radial",0.1,100,0.28663007518797
"radial",0.1,1000,0.402512781954887
"radial",1,0.001,0.22163007518797
"radial",1,0.01,0.22163007518797
"radial",1,0.1,0.22163007518797
"radial",1,1,0.220216541353383
"radial",1,10,0.287184962406015
"radial",1,100,0.398297744360902
"radial",1,1000,0.410418045112782
"radial",10,0.001,0.254760902255639
"radial",10,0.01,0.254760902255639
"radial",10,0.1,0.254760902255639
"radial",10,1,0.281184962406015
"radial",10,10,0.366634586466165
"radial",10,100,0.349723308270677
"radial",10,1000,0.347239097744361
"radial",100,0.001,0.219691729323308
"radial",100,0.01,0.219691729323308
"radial",100,0.1,0.219691729323308
"radial",100,1,0.287001503759398
"radial",100,10,0.283016541353383
"radial",100,100,0.283311278195489
"radial",100,1000,0.283311278195489
"radial",1000,0.001,0.127124812030075
"radial",1000,0.01,0.127124812030075
"radial",1000,0.1,0.127124812030075
"radial",1000,1,0.161604511278195
"radial",1000,10,0.167004511278195
"radial",1000,100,0.167004511278195
"radial",1000,1000,0.167004511278195
